,National Administrator,Account Type,Account Holder Name,Installation/Aircraft ID,Installation Name/Aircraft Operator Code*,Company Registration No,Permit/Plan ID,Permit/Plan Date,Main Activity Type,Latest Compliance Code
157,Austria,Operator Holding Account,Laakirchen Papier AG,168,Laakirchen Papier AG,FN 171841 h,IPA101,2004-01-01,Production of paper or cardboard,A
158,Austria,Operator Holding Account,Dr. Franz Feurstein Gesellschaft m.b.H.,159,Feinpapier Feurstein Traun,FN 79815 a,IPA096,2004-01-02,Production of paper or cardboard,A
159,Austria,Operator Holding Account,Lenzing Fibers GmbH,184,Lenzing Fibers GmbH,FN 129218 b,ICH116,2005-05-25,Combustion of fuels,A
160,Austria,Operator Holding Account,BMW Motoren GmbH,198,BMW Motoren Steyr,FN 153093 m,IMS196,2005-04-07,Combustion of fuels,A
161,Austria,Operator Holding Account,Kelag Energie & Wärme GmbH,151,Kelag Wärme Scheydgasse Wien,FN 68303 x,EFE054,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,A
162,Austria,Operator Holding Account,Kelag Energie & Wärme GmbH,152,Kelag Wärme Linz Bindermichl,FN 68303 x,EFE056,2004-01-02,Combustion of fuels,A
163,Austria,Operator Holding Account,Kelag Energie & Wärme GmbH,153,Kelag Wärme Pinkafeld,FN 68303 x,EFE055,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,A
164,Austria,Operator Holding Account,Semperit Technische Produkte Gesellschaft m.b.H.,185,Semperit Technische Produkte Wimpassing,FN 36912 h,ICH104,2004-01-02,Combustion of fuels,A
165,Austria,Operator Holding Account,Profümed GmbH,166,Profümed GmbH - Grimmenstein,FN 421016 t,IPA100,2006-06-22,Production of paper or cardboard,A
166,Austria,Operator Holding Account,Pappenfabrik Timmersdorf GmbH,165,Pappenfabrik Timmersdorf,FN 176954 b,IPA97-1,2004-01-02,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,C
167,Austria,Operator Holding Account,Brigl & Bergmeister GmbH,158,Brigl & Bergmeister Niklasdorf,FN 331483a,IPA094,2005-07-05,Production of paper or cardboard,A
168,Austria,Operator Holding Account,Schretter & Cie GmbH & Co KG,156,Schretter & Cie (Zement) Vils,FN 18233 p,IZE071,2004-01-01,Production of cement clinker,A
169,Austria,Operator Holding Account,Schretter & Cie GmbH & Co KG,173,Schretter & Cie (Kalk) Vils,FN 18233 p,IKA123,2004-01-01,"Production of lime, or calcination of dolomite/magnesite",A
170,Austria,Operator Holding Account,Essity Austria GmbH,169,Essity Ortmann,FN 49537 z,IPA080,2004-01-02,Production of paper or cardboard,A
171,Austria,Operator Holding Account,Wiesner-Hager Zentrale Dienste G.m.b.H.,197,Wiesner-Hager Altheim,FN 116025 a,IHO190,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,A
172,Austria,Operator Holding Account,Stoelzle Oberglas GmbH,181,Stölzle-Oberglas Bärnbach,FN 63600 f,IGL177-1,2004-01-02,Installations for the manufacture of glass including glass fibre,C
173,Austria,Operator Holding Account,Stoelzle Oberglas GmbH,182,Stölzle-Oberglas Köflach,FN 63600 f,IGL176,2004-01-02,Manufacture of glass,A
174,Austria,Operator Holding Account,Spezialpappenfabrik Rosegg Betriebs GmbH,170,Spezialpapierfabrik Rosegg Koglhof,FN 38675 a,IPA99-1,2004-01-02,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,C
175,Austria,Operator Holding Account,Mondi Neusiedler GmbH,162,Neusiedler Hausmening,FN 224630 p,IPA083,2004-01-01,Production of paper or cardboard,A
176,Austria,Operator Holding Account,Ybbstaler Zellstoff GmbH,164,Neusiedler Zellstoff Kematen,FN 159918 z,IPA085,2004-01-01,Production of pulp,A
177,Austria,Operator Holding Account,Mondi Neusiedler GmbH,163,Neusiedler Kematen,FN 224630 p,IPA084,2004-01-01,Production of paper or cardboard,A
178,Austria,Operator Holding Account,Leube Zement GmbH,203,Leube Zement GmbH - Kalkwerk,FN 34661 y,IKA124,2004-01-01,"Production of lime, or calcination of dolomite/magnesite",A
179,Austria,Operator Holding Account,Leube Zement GmbH,157,Leube Zement GmbH - Zementwerk,FN 34661 y,IZE078,2004-01-01,Production of cement clinker,A
180,Austria,Operator Holding Account,FunderMax GmbH,193,Funder Werk 4 St. Veit/Glan,FN 90081 y,IHO183-1,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,C
181,Austria,Operator Holding Account,FunderMax GmbH,192,FunderMax St. Veit,FN 90081 y,IHO182,2005-09-05,Combustion of fuels,A
182,Austria,Operator Holding Account,FunderMax GmbH,191,FunderMax Neudörfl,FN 90081 y,IHO189,2005-07-01,Combustion of fuels,A
183,Austria,Operator Holding Account,Zellstoff Pöls Aktiengesellschaft,172,Zellstoff Pöls,FN 200511 w,IPA103,2004-01-01,Production of pulp,A
184,Austria,Operator Holding Account,MAGNA STEYR Fahrzeugtechnik GmbH & Co KG,200,Magna Steyr Werk 2 Graz,FN 187417 p,IMS198,2004-01-01,Combustion of fuels,A
185,Austria,Operator Holding Account,MAGNA STEYR Fahrzeugtechnik GmbH & Co KG,199,Magna Steyr Werk 1 Graz,FN 187417 p,IMS197,2004-01-01,Combustion of fuels,A
186,Austria,Operator Holding Account,Mondi Frantschach GmbH,160,Frantschach St. Gertraud,FN 112934 f,IPA086,2005-06-09,Production of paper or cardboard,A
187,Austria,Operator Holding Account,Comelli-Ziegel Gesellschaft m.b.H.,174,Comelli Ziegel Kirchbach-Maxendorf,FN 31740 b,IZI157,2005-06-06,Manufacture of ceramics,A
